round,alive_nodes,round_energy
772,100,0.025469424172624263
773,100,0.02494376077730426
774,100,0.025661368497338473
775,100,0.025258071815599276
776,100,0.026110881090601147
777,100,0.02509221216306809
778,100,0.02549762536015314
779,100,0.025800222811149486
780,100,0.0258390420373269
781,100,0.02565886331270657
782,100,0.025250538758127133
783,100,0.025055127041868908
784,100,0.02520578749820934
785,100,0.0251009431779791
786,100,0.02519642458750961
787,100,0.02533982174808594
788,100,0.025433929709573772
789,100,0.025270331742773475
790,100,0.025053820870872164
791,100,0.025093933418714045
792,100,0.025867107691382143
793,100,0.025353541250696394
794,100,0.025256744379383664
795,100,0.024899530810429175
796,100,0.025482009756078935
797,100,0.025505813090687272
798,100,0.025291143468369495
799,100,0.025437620836339447
800,100,0.025162789604574378
801,100,0.025105110469340206
802,100,0.02499673686685401
803,100,0.02576177757831005
804,100,0.025125308455876797
805,100,0.025197853041324925
806,100,0.025435163686417912
807,100,0.025248309392517335
808,100,0.02500788252604087
809,100,0.025014101594435904
810,100,0.024553068758256268
811,100,0.025664566813153628
812,100,0.025705632124741855
813,100,0.02543183684998561
814,100,0.025327353268699462
815,100,0.025575540561893206
816,100,0.025932039269192356
817,100,0.025496931757613677
818,100,0.025536521708012364
819,100,0.025560521677611213
820,100,0.025122291227838406
821,100,0.025639578575214955
822,100,0.02597527968521412
823,100,0.02514254439838224
824,100,0.02493791008355431
825,100,0.025670202482879427
826,100,0.024795396270003305
827,100,0.02521295127181865
828,100,0.025440179685308324
829,100,0.025241440773302603
830,100,0.025012421419835493
831,100,0.0247224432304771
832,100,0.024820031674166805
833,100,0.02521149739040736
834,100,0.025507055210745595
835,100,0.025246372532106893
836,100,0.02545031694084542
837,100,0.025590882059982386
838,100,0.02503245586527339
839,100,0.025349528474161775
840,100,0.025145859786955427
841,100,0.025571915179124605
842,100,0.025485372438660524
843,100,0.024642439142406675
844,100,0.025573222747005988
845,100,0.02560093081665051
846,100,0.02511145782040339
847,100,0.025051286720824278
848,100,0.024951828321584938
849,100,0.025607642632219367
850,100,0.025524948559222348
851,100,0.024663587742213167
852,100,0.025949202467377402
853,100,0.025615457640418872
854,100,0.02519658680672239
855,100,0.02492229978502085
856,100,0.025143975920330203
857,100,0.02550421475051535
858,100,0.025297802255310285
859,100,0.02506004574438706
860,100,0.025377446127781946
861,100,0.0252004390440128
862,100,0.025045728539495892
863,100,0.025103494312907194
864,100,0.024820613044317166
865,100,0.025369317818602917
866,100,0.0257366036572125
867,100,0.0247383788934255
868,100,0.025227159740068537
869,100,0.025057405166030788
870,100,0.025291725118998458
871,100,0.025762086756564658
872,100,0.025482563603857387
873,100,0.02557444140238942
874,100,0.02519782888247981
875,100,0.02516852934494479
876,100,0.025435669124913192
877,100,0.025063498697522328
878,100,0.025277237764850736
879,100,0.025787571125867586
880,100,0.02517622501203014
881,100,0.025830043998421644
882,100,0.025635245588114815
883,100,0.02516459546029902
884,100,0.025392201779328213
885,100,0.024758855827502757
886,100,0.025382338569124863
887,100,0.025323033080432756
888,100,0.02538385281138103
889,100,0.025006472048671912
890,100,0.02537000267257533
891,100,0.025037314828474613
892,100,0.025671890089131642
893,100,0.02549840954548938
894,100,0.0257567095287744
895,100,0.025179610752730168
896,100,0.024617410870317852
897,100,0.02525290320632387
898,100,0.025603792042763772
899,100,0.025633255942299517
900,100,0.025457282444175503
901,100,0.025101983984565333
902,100,0.025716008533153336
903,100,0.025220479852830362
904,100,0.025567795058707557
905,100,0.025009911471307055
906,100,0.025840596131321947
